en,ml,pr,WER,CER,BLEU
Svrnkkttthu mattiya ksttmsu udyogsthrute mtngivrvu anveshikkunnu,സ്വർണക്കടത്ത് മാറ്റിയ കസ്റ്റംസ് ഉദ്യോഗസ്ഥരുടെ മടങ്ങിവരവ് അന്വേഷിക്കുന്നു,സ്വങങണകി്്്്്തത് മാറ്റിയ കെഎസഎ്ിിഎഎസ ഉദ്യോഗ്സ്ത്ടൂട മ്ടിങിവവവവ് അന്വേഷിക്കുന്നു,66.66666666666666,36.11111111111111,4.854917717073234
Muthir‍nna sipiem nethavum mun‍mnthiyumaya ti.Shivdasmenon‍ antharicchu,മുതിര്‍ന്ന സിപിഎം നേതാവും മുന്‍മന്ത്രിയുമായ ടി.ശിവദാസമേനോന്‍ അന്തരിച്ചു,മുതിർ‍ന്ന സിപ്ംം നേതവവംം മുൻ‍എന്്്്ഇയുമായ ടി.ശിവ്ദസ്മേനോൻ‍ അന്തരിച്ചു,83.33333333333334,25.352112676056336,4.08248290463863
Bhkshsurkshaa vakuppu van prajymennu sieji ripporttu,ഭക്ഷ്യസുരക്ഷാ വകുപ്പ് വൻ പരാജയമെന്ന് സിഎജി റിപ്പോർട്ട്,ഭ്ഷഷ്സുർക്ഷാ വകുപ്പ് വാ പ്രജജമമെ്ന് സേജജി റിപ്പോർട്ട്,66.66666666666666,20.37037037037037,4.854917717073234
"‘mukhymnthi thante shrddhye onnu shrddhikknm’; svrnm pollicchu, kuzhlnatn novicchu","‘മുഖ്യമന്ത്രി തന്റെ ശ്രദ്ധയെ ഒന്നു ശ്രദ്ധിക്കണം’; സ്വർണം പൊള്ളിച്ചു, കുഴൽനാടൻ നോവിച്ചു","‘മുഖിംം്്ഐ തന്റെ ശോദദ്്യയ ഒന്ന് ശ്ദദ്ിി്്്്ന’; സ്വംംംംം പൊള്ളിച്ചു, കുഴ്ൽൽനതന്ന നോവിച്ചു",66.66666666666666,32.55813953488372,3.155984539112946
"Mundu murukkiyutukkan keesibi; riban murikkam, puthiya kar pinneet","മുണ്ട് മുറുക്കിയുടുക്കാൻ കെഎസ്ഇബി; റിബൺ മുറിക്കാം, പുതിയ കാർ പിന്നീട്","മുണ്ടു മുറുക്കിയുടുക്കൻൻ കീസിബി; റിബാ മുറിക്കം, പുതിയ കാർ പിന്നീത്",75.0,13.043478260869565,5.873949094699214
Nrendra modiye peticchu yacchoori gujratthu klapbadhithre kanathe mungi: stheeshn,നരേന്ദ്ര മോദിയെ പേടിച്ച് യച്ചൂരി ഗുജറാത്ത് കലാപബാധിതരെ കാണാതെ മുങ്ങി: സതീശൻ,ന്േേ്്്ര മോദിയെ പെട്ചിച് യാക്ചൂരൂര ഗുജ്രത്ത് ക്ലാ്്ബധിത്ര കനത്തെ മുങ്ങി: സ്ഥീഷ്്,77.77777777777779,34.66666666666667,2.8517539529041507
‘mukhymnthi prnjthu pcchkkllm’; kliphu hausile sisitivi drushyngl purtthuvitan velluvili,‘മുഖ്യമന്ത്രി പറഞ്ഞത് പച്ചക്കള്ളം’; ക്ലിഫ് ഹൗസിലെ സിസിടിവി ദൃശ്യങ്ങൾ പുറത്തുവിടാൻ വെല്ലുവിളി,‘മുഖിംം്്ഐ പ്രിജജത് പ്്്്്്്ക്’; ക്ലിഫു ഹൌസിലെ സിസിറ്വിവി ദ്രിം്ങ്ൽ പുർത്തുവിതൻ വെല്ലുവിളി,88.88888888888889,36.95652173913043,2.3980296761827105
Kalvrshm: mzha kurnjthu 53%; varum divsnglil kalvrshm shkthmakumennu soochna,കാലവർഷം: മഴ കുറഞ്ഞത് 53%; വരും ദിവസങ്ങളിൽ കാലവർഷം ശക്തമാകുമെന്ന് സൂചന,കൽവൃഷഷം: എഴഴ കുർ്്ഞ്തു 53%; വരും ഡിവ്സ്ങ്ഗ്ൽിൽ കൽവൃഷഷം ഷ്ക്ത്മകുമെന്ന് സൂച്ന,77.77777777777779,36.231884057971016,5.071215336946558
Veendum itivu; 79 ktnnu roopa,വീണ്ടും ഇടിവ്; 79 കടന്ന് രൂപ,വീണ്ടും ഇറിവ്; 79 ക്ട്ന്ന് രൂപ,40.0,10.714285714285714,7.071067811865476
"Svpnykku surksha: smvidhanvumilla, adhikaaravumilla; idi kayyozhinju","സ്വപ്നയ്ക്ക് സുരക്ഷ: സംവിധാനവുമില്ല, അധികാരവുമില്ല; ഇഡി കയ്യൊഴിഞ്ഞു","സ്വ്പിനിയ്്്് സുർക്ഷ: സ്വവവിധൻവുമില്ല, അധികാരവുമില്ല; ഇടി കയ്യൊഴിഞ്ഞു",66.66666666666666,17.91044776119403,4.854917717073234
Aaranmulakkannaatikku nythnth chanl enthin? Stheeshn,ആറന്മുളക്കണ്ണാടിക്ക് നയതന്ത്ര ചാനൽ എന്തിന്? സതീശൻ,ആറന്മുളക്കണനനാിി്കക നൈത്ന്് ചാ് എന്തിൻ? സ്ഥീഷ്്,100.0,36.734693877551024,0
Reyilve joli thattippu: ‘mada’tthe theti poleesu kottytthekku,റെയിൽവേ ജോലി തട്ടിപ്പ്: ‘മാഡ’ത്തെ തേടി പൊലീസ് കോട്ടയത്തേക്ക്,റെയിൽവേ ജോലി തട്ടിപ്പ്: ‘മദ’ത്തെ തതറി പോലീസ് കോട്ട്ത്ത്തേക്ക്,57.14285714285714,13.333333333333334,16.348126556655487
Ephecchblyu kozhsinu amgeekaaramilla; aashankayil nalayirttholm vidyarthikl,എഫ്എച്ച്ഡബ്ല്യു കോഴ്സിന് അംഗീകാരമില്ല; ആശങ്കയിൽ നാലായിരത്തോളം വിദ്യാർഥികൾ,എഫേച്ച്ബ്ലുയു കോഴ്സിന് അംഗീകാരമില്ല; ആശങ്കയിൽ നലയിർത്തോൾ വിദ്യാത്തിി്്,50.0,20.54794520547945,20.205155046766237
"Rbr sttampineylla, rajytthinavshym nishpksha rashtrpthiye: yshvnthu sinha","റബർ സ്റ്റാംപിനെയല്ല, രാജ്യത്തിനാവശ്യം നിഷ്പക്ഷ രാഷ്ട്രപതിയെ: യശ്വന്ത് സിൻഹ","ആർആആർ സ്റ്റം്പിെെയ്്ല, രാജ്ത്തതിനവവഷഷിംം നിശ്പ്ക്ഷ രാഷ്ടർർ്്തിയെ: യ്്വതതതു സിൻഹ",85.71428571428571,33.78378378378378,3.303164318013806
Vaypa thiricchtvu mutngiythinu veetinte chumaril perezhuthi dhnkarya sthapnm,വായ്പ തിരിച്ചടവു മുടങ്ങിയതിന് വീടിന്റെ ചുമരിൽ പേരെഴുതി ധനകാര്യ സ്ഥാപനം,വയ്പ തിരിക്ക്റ്വ് മുട്ടിയിയ്തിന് വീട്ന്റെറ ചുമരിൽ പേരെഴുതി ധ്്കകര്യ സ്ഥപ്പംം,75.0,28.57142857142857,5.873949094699214
Thoppil bhasiyute svathnth്ya smrsenani penshan mklkku nalkum,തോപ്പിൽ ഭാസിയുടെ സ്വാതന്ത്ര്യ സമരസേനാനി പെൻഷൻ മകൾക്കു നൽകും,തോപ്പിൽ ഭാസിയുടെ സ്വത്ന്്്യ സ്മ്സനനനി പെൻഷൻ മം്കകകകക നൽകകും,57.14285714285714,23.728813559322035,7.7305517569394535
Thirunavayyil silvarlyn kuttikal irkkunnthu thtnju; prthishedhkkare neekki,തിരുനാവായയിൽ സിൽവർലൈൻ കുറ്റികൾ ഇറക്കുന്നത് തടഞ്ഞു; പ്രതിഷേധക്കാരെ നീക്കി,തിരുനവയ്യയൽ സിൽവർളിി കുട്ടികൾ ഇർക്കുന്ന്തു ത്ട്ഞു; പൃർിിഷേ്്്കാരെ നീക്കി,85.71428571428571,26.38888888888889,3.303164318013806
Masppirvi kandu; kerltthil bliperunnal 10n,മാസപ്പിറവി കണ്ടു; കേരളത്തിൽ ബലിപെരുന്നാൾ 10ന്,മാസ്പപിവിി കണ്ട്; കേർൽതതിൽൽ ബ്ലിപ്റുന്നാ 10എൻ,100.0,33.33333333333333,0
Bphr son: karykshma itpetlennu mukhymnthi,ബഫർ സോൺ: കാര്യക്ഷമ ഇടപെടലെന്നു മുഖ്യമന്ത്രി,ബിഫിർ സൺൺ: കരരകക്ഷ്മ ഇട്പെട്ല്ലെന്ന് മുഖിംം്്ഐ,100.0,44.18604651162791,0
Svpnyute aaropanangal: mukhymnthikkethire vi.Murleedhrn,സ്വപ്നയുടെ ആരോപണങ്ങൾ: മുഖ്യമന്ത്രിക്കെതിരെ വി.മുരളീധരൻ,സ്വിപിയിയൂട്് ആരോപണങ്ങൾ: മുഖിംം്്ഇക്കെതിരെ വി.മുർളീ്്ര,75.0,33.33333333333333,8.034284189446518
Rahul gandhi innu vynattil,രാഹുൽ ഗാന്ധി ഇന്ന് വയനാട്ടിൽ,രാഹുൽ ഗാന്ധി ഇന്ന് വിനാട്റൽ,25.0,10.714285714285714,39.76353643835253
Videshtthulla prathiyute munkoor jamym: harji divishan benchin,വിദേശത്തുള്ള പ്രതിയുടെ മുൻകൂർ ജാമ്യം: ഹർജി ഡിവിഷൻ ബെഞ്ചിന്,വിദേശ്തതതുള് പ്രതിയുടെ മുൻകൂർ ജമമിം: ഹർജി ഡിവിഷൻ ബെഞ്ചിൻ,42.857142857142854,13.793103448275861,9.878765474230743
Ekeji sentarinu nerkku rathriyil sphotkvsthu erinju,എകെജി സെന്ററിനു നേർക്കു രാത്രിയിൽ സ്ഫോടകവസ്തു എറിഞ്ഞു,ഇകേജി സെന്ററിന് നേർക്ക് രാത്രിയിൽ സ്ഫോട്ക്വ്സ്ത് എറിഞ്ഞു,66.66666666666666,15.09433962264151,4.854917717073234
Svpnyute mozhi: srithyute harji innu prignikkum,സ്വപ്നയുടെ മൊഴി: സരിതയുടെ ഹർജി ഇന്ന് പരിഗണിക്കും,സ്വിപിയിയൂട്് മൊഴി: ശ്രീതുയൂടെ ഹർജി ഇന്ന് പ്രൈഗ്നിക്കും,50.0,33.33333333333333,9.554427922043669
Oru kuttnatn mudravakya paraynm,ഒരു കുട്ടനാടൻ മുദ്രാവാക്യ പാരായണം,ഒരു കുട്ട്ന്നന മുദ്രവക്യ പറയ്നംം,75.0,33.33333333333333,8.034284189446518
"Srkkarinu thiricchati, broovari kesu thutarum; vidhi chennitthlyute harjiyil","സർക്കാരിന് തിരിച്ചടി, ബ്രൂവറി കേസ് തുടരും; വിധി ചെന്നിത്തലയുടെ ഹർജിയിൽ","സ്കകകകറിന് തിരിച്ചടിി, ബ്രൂവരി കേസു തുടരും; വിധി ചെന്നിത്ത്ല്യുടെ ഹർജിയിൽ",62.5,12.857142857142856,6.500593260343692
Anadhikrutha mnushykkttthu: labhm koythu ejntumar,അനധികൃത മനുഷ്യക്കടത്ത്: ലാഭം കൊയ്ത് ഏജന്റുമാർ,അനധികൃത ന്ണുഷിയ്്്്്്ത്്: ലഭ് കൊയ്ത് എജ്ന്ുമാാ,60.0,33.33333333333333,6.389431042462725
Kotikal kittiyittum anangaathe kocchuveli terminal viksnm,കോടികൾ കിട്ടിയിട്ടും അനങ്ങാതെ കൊച്ചുവേളി ടെർമിനൽ വികസനം,കോട്കികൾ കിട്ടിയിട്ടും അനങ്ങാതെ കോച്ചുവേലി ടെർമിനൽ വിക്സ്നംം,50.0,12.727272727272727,9.554427922043669
Rashtrpthi thiranjetuppu: dal kerla nethakkl eldiephinoppam,രാഷ്ട്രപതി തിരഞ്ഞെടുപ്പ്: ദൾ കേരള നേതാക്കൾ എൽഡിഎഫിനൊപ്പം,രാഷ്ടർർപ്തി തിരഞ്ഞെടുപ്പ്: ഡൽൽ കെർള നേതക്കക എൽഡിഫഫിൊപ്പപം,83.33333333333334,23.214285714285715,4.08248290463863
Shmplm aadyavaaramenkilum nlknmennthil vittuveezhchyilla: ehekkotathi,ശമ്പളം ആദ്യവാരമെങ്കിലും നൽകണമെന്നതിൽ വിട്ടുവീഴ്ചയില്ല: െഹെക്കോടതി,ഷ്എപപിഎ ആദ്യവാരമെങ്കിലും ൽലകക്ന്മെന്ന്തിൽ വിട്ടുവീഴ്ച്യില്ല: ഇഹക്്കോടത്തി,80.0,29.230769230769234,5.372849659117708
Smpoorna aarogya inshuransu ellavrkkum urppakkuka srkkar nym: mukhymnthi,സമ്പൂർണ ആരോഗ്യ ഇൻഷുറൻസ് എല്ലാവർക്കും ഉറപ്പാക്കുക സർക്കാർ നയം: മുഖ്യമന്ത്രി,സ്മപൂർണ ആരോഗ്യ ഇൻഷുറൻസ് എല്ലവവക്കും ഉർപ്പാകകകകക സ്കകകകർ നൈംം: മുഖിംം്്ഐ,75.0,25.675675675675674,5.873949094699214
Prathi aar? Enthu smbhvicchu? Sphotka vasthu ?; utthrm ‘theliyathe’ chodyngl,പ്രതി ആര്? എന്ത് സംഭവിച്ചു? സ്ഫോടക വസ്തു  ?; ഉത്തരം ‘തെളിയാതെ’ ചോദ്യങ്ങൾ,പ്രതി ആർ? എന്ത് സ്ംബ്വിച്ച്? സ്ഫോത്ക വസ്തു ?; ഉത്ത്ംം ‘തെളിയതതത’ ചോഡിംിങ്,60.0,26.38888888888889,5.307712171072445
Smbhvsthlm sndrshicchu pinrayi; kuttvalikle kndetthan krshna nirdesham,സംഭവസ്ഥലം സന്ദർശിച്ച് പിണറായി; കുറ്റവാളികളെ കണ്ടെത്താൻ കർശന നിർദേശം,സസഎ്്്്്്്്ൽ സനന്ദഷിച്ചു പിൻ്ായി; കുറ്റ്വലിക്ലേ കെണ്ടത്തൻ കൃഷ്ണ നിർദേശം,85.71428571428571,43.28358208955223,3.303164318013806
Otttthvna upyogikkunna plasttiku ulpnnnglkkulla nirodhnm nilavil,ഒറ്റത്തവണ ഉപയോഗിക്കുന്ന പ്ലാസ്റ്റിക് ഉൽപന്നങ്ങൾക്കുള്ള നിരോധനം നിലവിൽ,ഒറ്റ്തതത്വ ഉപ്യോഗിക്കുന്ന പ്ലസ്്ററികക് ഉൽപപ്നിം്ങകകകകുുള്ള നിരോദ്ംംം നിലവിൽ,83.33333333333334,27.536231884057973,4.08248290463863
Mediseppil 143 srkkar aashupathrikal; 240 svkarya aashupathrikalum chernnu,മെഡിസെപ്പിൽ 143 സർക്കാർ ആശുപത്രികൾ; 240 സ്വകാര്യ ആശുപത്രികളും ചേർന്നു,മെഡിസേപ്പിൽ 143 സ്കകകകർ ആശുപത്രികൾ; 240 സ്വ്കര്യ ആശുപത്രികളും ചേർന്നു,37.5,8.695652173913043,8.78360261971396
Partti ophisukalkku nere aakramanam munpum,പാർട്ടി ഓഫിസുകൾക്കു നേരെ ആക്രമണം മുൻപും,പാർട്ടി ഓഫിസുകൾക്ക് നേരെ ആക്രമണം മുൻപും,20.0,2.564102564102564,28.574404296988
Ophisu aakramiccha kuttikalotu kshamikkunnu: rahul gandhi,ഓഫിസ് ആക്രമിച്ച കുട്ടികളോട് ക്ഷമിക്കുന്നു: രാഹുൽ ഗാന്ധി,ഓഫിസ് ആക്രമിച്ച കുട്ടികളോട്് ക്ഷമിക്കുന്നു: രാഹുൽ ഗാന്ധി,16.666666666666664,1.8181818181818181,25.406637407730738
Itathu virodhmullvre onnippicchu nirtthanulla gooddneekkm: sipiem,ഇടതു വിരോധമുള്ളവരെ ഒന്നിപ്പിച്ചു നിർത്താനുള്ള ഗൂഢനീക്കം: സിപിഎം,ഇത്ത് വിരോധ്മുൾൾവവരേ ഒന്നിപ്പിച്ചു നിർത്തനുള്ള ഗൂദ്ദ്നീക്ക്: സിപ്ംം,83.33333333333334,25.396825396825395,4.08248290463863
Keesartisi shmpla prthisndhi: ‘kotathiyil vishvasm undenkil smrm venda’,കെഎസ്ആർടിസി ശമ്പള പ്രതിസന്ധി: ‘കോടതിയിൽ വിശ്വാസം ഉണ്ടെങ്കിൽ സമരം വേണ്ട’,കീസാർ്ിിി ഷ്ംപ്ലലല പൃർതിസ്്ധി: ‘കോട്തതതിിൽ വിഷ്വസസം ഉണ്ടെങ്കിൽ എെമംംം വേണ്ട’,75.0,36.61971830985916,3.303164318013808
Jiestiye bijepi ‘gbbr singu taksu’ aakki: kongras,ജിഎസ്ടിയെ ബിജെപി ‘ഗബ്ബർ സിങ് ടാക്സ്’ ആക്കി: കോൺഗ്രസ്,ജിസ്റ്റിയെ ബിജെപി ‘ജിബബബിആആ സിങ്ുു തക്സ്’ ആക്കി: കോൺഗ്രസ്,57.14285714285714,26.923076923076923,7.7305517569394535
Naya kticchthu kyviralil; vyrasu athivegam thlcchoriletthiythu mrnkarnmayi,നായ കടിച്ചത് കൈവിരലിൽ; വൈറസ് അതിവേഗം  തലച്ചോറിലെത്തിയതു മരണകാരണമായി,നയ ക്ടിച്ച്ത് കൈവിിലിൽ; വിരസസ അതിവേഗം തൈച്ചോറിലില്തിയ്്് മൃം്ർർമമയയി,85.71428571428571,31.343283582089555,3.303164318013806
"Pi.Si.Jorjinethire solar prathiyute peedna prathi; natkeeym arasttu, jamym","പി.സി.ജോർജിനെതിരെ സോളർ പ്രതിയുടെ പീഡന പരാതി; നാടകീയം അറസ്റ്റ്, ജാമ്യം","പി.സി.ജോർജിനെതിരെ സോളർ പ്രതിയുടെ പീഡ്ന പ്രതി; നട്്ീയയ അറസ്റ്റു, ജമമിം",62.5,15.942028985507244,13.74708101760565
Aavikkal thotu malinysmskrna plantinethiraya smrtthil smghrshm; latthiccharj,ആവിക്കൽ തോട് മാലിന്യസംസ്കരണ പ്ലാന്റിനെതിരായ സമരത്തിൽ സംഘർഷം; ലാത്തിച്ചാർജ്,ആവിക്കൽ തോട്ട മലലിനിസസസസസ്്് പ്ലാന്റിനെിരായ സ്മർതതതിൽ എ്ംഘ്ഷ്; ലത്തിച്ചർജ്,85.71428571428571,25.675675675675674,3.303164318013806
Bykkiticchu veenyalkku rkshknayi rahul gandhi,ബൈക്കിടിച്ചു വീണയാൾക്ക് രക്ഷകനായി രാഹുൽ ഗാന്ധി,ബൈക്കിറ്റിച്ച വീന്യൾക്കു കക്ഷ്ക്നയി രാഹുൽ ഗാന്ധി,60.0,26.08695652173913,11.362193664674995
Vijayu babuvinu ethire nati supreemkotathiyil,വിജയ് ബാബുവിന് എതിരെ നടി സുപ്രീംകോടതിയിൽ,വിജയു ബാബുവിന് എതിരെ നട്് സുപ്രീംകോടത്തിയിൽ,60.0,12.5,11.362193664674995
Smskrutha srvklashala: skreeningu kammitti thlliyvrkkum niymnm; rekhkl puratthu,സംസ്കൃത സർവകലാശാല: സ്ക്രീനിങ് കമ്മിറ്റി തള്ളിയവർക്കും നിയമനം; രേഖകൾ പുറത്ത്,സ്ംസസ്രതത ശ്ർവവ്കാാാല: സ്ക്രീനിങ്ങ് കമ്മിറ്റി ട്ലലലിയ്വർക്കും നിയ്നംം; റെഖ്ക്ൽ പുറത്ത്,75.0,33.33333333333333,3.303164318013808
Snthe‍ashppnm: 6 eksysu udye‍agsthrkku kooti sspenshn,സന്തേ‍ാഷപ്പണം: 6 എക്സൈസ് ഉദ്യേ‍ാഗസ്ഥർക്ക് കൂടി സസ്പെൻഷൻ,സ്ന്തെ‍അഷ്പ്പപം: 6 എക്സ്സ് ഉദ്യേ‍അഗ്സ്ത്കകകക് കൂടിട എ്സ്പെൻൻൻ,83.33333333333334,29.09090909090909,4.08248290463863
Lodju muriyil dmpthikl mriccha nilayil,ലോഡ്ജ് മുറിയിൽ ദമ്പതികൾ മരിച്ച നിലയിൽ,ലോഡ്ജു മുറിയിൽ ഡിഎമപ്തിിക മൃച്ച നിലയിൽ,60.0,27.027027027027028,6.389431042462725
Modal shhanyute mrnm: bhrtthavu kuttkkarnennu poleesu kuttpthrm,മോഡൽ ഷഹാനയുടെ മരണം: ഭർത്താവ് കുറ്റക്കാരനെന്നു പൊലീസ് കുറ്റപത്രം,മോഡൽ ഷ്്യയൂെെ മെംം: ഭൃതതവാ കുട്റ്ക്കർനനനനനന പോലീസ് കുറ്റ്പ്റ്ര,85.71428571428571,36.507936507936506,3.303164318013806
Svpna kocchiyilekku thamsm mattunnu,സ്വപ്ന കൊച്ചിയിലേക്ക് താമസം മാറ്റുന്നു,സ്വിപിന കൊച്ചിയിലേക്ക് തംംസ മാററുു്നുു,75.0,21.052631578947366,8.034284189446518
Reshan mnnenna vila kendram veendum kootti; smsthantthu leettarinu 102 roopa,റേഷൻ മണ്ണെണ്ണ വില കേന്ദ്രം വീണ്ടും കൂട്ടി; സംസ്ഥാനത്ത് ലീറ്ററിന് 102 രൂപ,റേഷൻ മ്്നെന്ന വില കേന്ദ്രം വീണ്ടും കൂട്ടി; സ്സസസനന്്്്് ലീറ്ററിന് 102 രൂപ,20.0,15.277777777777779,39.2814650900513
Emele pnketuttha prktntthil kolavili mudravakym: poleesu kesetutthilla,എംഎൽഎ പങ്കെടുത്ത പ്രകടനത്തിൽ കൊലവിളി മുദ്രാവാക്യം: പൊലീസ് കേസെടുത്തില്ല,ഇമേലെ പിങികെട്ു്്ത പ്രകട്ന്റ്തിൽ കൊളവിളി മുദ്രവാ്ിംം: പോലീസ് കേസെടുത്തിലില,100.0,26.76056338028169,0
Svpna sureshinu bheeshani; thiroorkkatu svadeshi arasttil,സ്വപ്ന സുരേഷിന് ഭീഷണി; തിരൂർക്കാട് സ്വദേശി അറസ്റ്റിൽ,സ്വിപിന സുരേഷിന് ഭീഷണി; തിരൂർക്കാ്്് സ്വദേശി അറസ്റ്റിൽ,33.33333333333333,7.6923076923076925,12.209471671615688
